인덱스,대사,캐릭터 표정,튜토리얼 이미지,영문 대사
59,왠지 저 악당 녀석을 공격할 수 있는 방법이 있을 것 같지 않나요?,화남,없음,Doesn't it seem like there's a way to attack that villain?
60,X 키를 누르면 적을 공격하고 처치할 수 있습니다.,화남,있음,Pressing the X key allows you to attack and kill your enemies.
61,어서 공격 키를 활용하여 악당 녀석을 처치해 봐요!|으으 난 이제 못 참아!,화남,없음,"Press the attack key to kill the villain! Ugh, I can’t take it anymore!"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
78,공주님을 납치한 악당 녀석을 처치하니 속이 시원하네요~,신남,없음,What a relief! We took down the villain who kidnapped the princess!
79,응? 이번에는 앞에 사다리가 놓여있네요?,의문,없음,Look! There's a ladder in front of us.
80,앞을 막고있는 지형은 너무 높아서 2단 점프로는 지나갈 수 없으니 |사다리를 이용해야 할 것 같아요!,기본,없음,"The terrain blocking our path is too high to pass with a double jump, so we'll need to use the ladder!"
81,사다리와 같은 상호작용 구간에서 F키를 누르면 해당 구간에 맞는 |상호작용이 가능해요!,신남,있음,"In interactive areas like ladders, you can press the F key to perform the appropriate interaction!"
82,이제 F 키를 눌러 사다리로 높은 지형을 올라가 볼까요?,신남,없음,Now let's press the F key to climb up the high terrain with the ladder!
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
98,사다리로 올라왔더니 또 다시 아래로 향하는 통로가 있네요?,의문,없음,There's a passageway to the bottom again?
99,이번에는 내려가기 조작키를 이용해도 내려갈 수가 없어요... |어떻게 해야 이 지형물을 지나갈 수 있을까요?,의문,없음,It won't go down even if I use the down control key... How can I get past this feature?
100,아하! 지형물을 파괴할 수 있을 것 같아요!|Z키를 누른 뒤 공중에서 C키를 눌러주면 판자를 파괴할 수 있답니다!,신남,있음,Gotcha! I think I can destroy the terrain!|Pressing the Z key and then the C key in the air can destroy the board!
101,그럼 판자를 파괴하고 다음 구간으로 넘어가볼까요?,기본,없음,Let's destroy the board and move on to the next place?
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
118,아! 이번에는 벽이 앞을 가로막고 있네요?,의문,없음,Gosh! The wall is blocking the front!
119,에... 2단 점프로는 너무 높아 갈 수 없고 사다리도 존재하지 않아서 |올라갈 수도 없어요.,의문,없음,"I can't go too high with a two-speed jump, and I can't even go up because there's no ladder."
120,아니! 대체 어떻게 지나가야 하는 거야!,화남,없음,No! How am I supposed to get by!
121,앞에서 배운 조작키 말고 지나갈 수 있는 방법이 있을 것 같지 않나요?,의문,없음,Don't you think there's a way to get by?
122,오! Spacebar 키를 누르면 카메라의 시점이 전환되어 |2D시점과 3D시점을 자유롭게 오고갈 수 있어요!,신남,있음,Oh! Press the Spacebar key to switch the camera's viewpoint so you can freely move back and forth between 2D and 3D viewpoints!
123,이제부터 2D / 3D 시점 전환이 필요한 상황이 오면 자유롭게 |Spacebar를 사용해 난관을 헤쳐나가봐요!,신남,없음,"When you need a 2D or 3D view transition, press Spacebar!"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
138,"아! 그리고 깜빡한 게 있는데, 처음에 보였던 가로등의 용도가 궁금하지 않으셨나요?",의문,없음,Are you curious about the purpose of this streetlight?
139,바로바로~ 게임을 진행하면서 얻었던 데이터들을 저장할 수 있도록 |마련된 체크포인트랍니다!,신남,없음,It's a checkpoint that stores the data you got while playing the game!
140,체크포인트는 앞으로도 중간중간 게임 진행이 날아가지 않도록 |보호해주니까 안심하고 계속 모험을 할 수 있어요!,신남,없음,"Checkpoint protects the progress of the game from flying away, so you can continue to venture with confidence!"
141,자! 이제 기본적인 가이드는 끝났답니다! |이제 저 베타와 함께 공주님을 구하러 모험을 떠나볼까요?,신남,없음,Okay! The guide is over! Shall we go on an adventure to save the princess with me?
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
158,어라! 앞에 저건 뭐지?,의문,없음,Oh! What's that?
159,계속 모험을 나아가다 보면 앞에 보이는 아이템을 획득할 수 있어요. |획득 가능한 아이템의 종류도 다양하답니다!,신남,없음,"If you keep going, you'll get the items! There are many different types of items!"
160,체력을 회복 시켜주는 아이템과 이동속도를 올려주는 아이템 |마지막으로 최대체력을 증가시켜주는 아이템이 존재해요!,신남,없음,"The types of items include recovery of physical strength, speed of movement, and maximum physical strength!"
161,아! 체력 회복 아이템은 이미 체력이 가득 채워진 상태에서는 |아무런 일도 일어나지 않아요. |자 이제 아이템을 획득하여 제가 더 강해질 수 있도록 도와주세요! ,기본,없음,Oh! Nothing happens when I already full of physical strength. Help me get an item so I can be stronger!
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
178,아닛?! 상자를 부쉈는데 뭐가 나왔어요!,기본,없음,There's something in the box!
179,리모컨? |제가 특별한 능력을 얻을 수 있을 것 같은 느낌이 들지 않나요?,의문,없음,Remote control? Doesn't it feel like I can get a special ability?
180,맞아요! 이 리모컨은 제가 변신할 수 있는 아주 특별한 전자제품이랍니다!,신남,없음,Yes! This remote control is a very special appliance that I can transform into!
181,내려찍기 조작법 기억하시나요? |반짝이는 전자제품 위에서 내려찍기를 하면 다른 모습으로 변신할 수 있답니다!,신남,있음,You can transform yourself into a different look by hitting it on top of a shiny appliance!
182,전자제품마다 가지고 있는 능력이 다르니 특성을 활용해 |모험을 다채롭게 즐길 수 있어요!,신남,없음,"Each appliance has different abilities, so you can enjoy a variety of adventures by utilizing its characteristics!"
183,모험을 하다 보면 리모컨 외에도 제가 변신할 수 있는 다른 전자제품들도 |만날 수 있답니다!,신남,없음,"When I go on an adventure, you can meet other appliance that I can transform into besides the remote control!"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
193,이런! 언제 어디서 적들이 나올지 모르니 항상 주의해야 해요!,화남,없음,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
200,문을 열려면 앞에 보이는 버튼을 눌러야 해요! 가까이 가서 버튼을 눌러볼까요?,기본,없음,
,,,,
,,,,
,,,,
204,앞에 있는 텔레포트를 타면 다음 구간으로 빠르게 넘어갈 수 있답니다!,신남,없음,
,,,,
,,,,
,,,,
,,,,
209,마우스로 변신해서 새로운 스킬을 사용해볼까요?,기본,없음,
,,,,
,,,,
212,마우스로 변신해서 새로운 스킬을 사용해볼까요?,기본,있음,
,,,,
214,X키로 박스를 클릭해서 원하는 위치에 놓으면 새로운 길을 만들 수 있어요!,신남,없음,
,,,,
,,,,
,,,,
218,어라 문이 왜 안 열리지? 주위를 둘러보며 열쇠를 찾아 볼까요?,의문,없음,
,,,,
,,,,
,,,,
222,아까 배운 X키를 눌러 적을 클릭하고 X를 한 번 더 누르면 던질 수 있어요! ,신남,있음,
,,,,
,,,,
,,,,
226,야호! 다리미로 변신하고 공격키 (X)를 누르면 씽씽 달리며 적을 공격할 수 있어요!,신남,없음,
227,내려찍기 (Z+C)를 이용해 적을 납작하게 누를 수도 있답니다!,신남,없음,
,,,,
,,,,
,,,,
231,리모컨은 공격키 (X)를 길게 꾸욱 눌러 강력한 레이저 공격을 할 수 있답니다!,기본,없음,
,,,,
,,,,
,,,,
,,,,
236,V키를 눌러 제품의 전원을 켜가며 앞으로 나아갈 수 있어요,기본,없음,
,,,,
,,,,
,,,,
,,,,
,,,,
242,"지스타에서 준비한 모험은 여기까지지만, 앞으로 더 많은 모험이 기다리고 있으니 기대해 주세요!",기본,없음,
243,저 베타와 끝까지 여정을 함께해 주셔서 감사합니다! 스팀에서 꼭 다시 만나요! ,신남,없음,
